"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","success","miniblock","nSteps","totRew","trRew","node","goalnode","decision"
"1277.680000057444","<p>In this block you made <span style=""color: #ff0000"">-6 points</span>. Stay strong!</p><p>This block, you took a total of <span style=""color: #ae7bdd"">6 steps</span>.</p><p>In total, you have collected the goal <span style=""color: #ae7bdd"">0 times</span>.</p><p>In total you now have <span style=""color: #93c54b"">47 points</span>.</p>","32","html-keyboard-response","59","73240","0.0-19.0","","","","","","","","",""
"1117.9100000299513","img/Lightbulb_goal.png","32","image-keyboard-response","60","74360","0.0-20.0","","","","","","","","",""
"null","img/fixation_cross.png","null","image-keyboard-response","61","75113","0.0-21.0-0.0","","","","","","","","",""
"null","img/Soapdispenser.png","null","image-keyboard-response","62","76621","0.0-21.0-1.0","","","4","0","47","0","16","12",""
"null","img/fixation_cross.png","null","image-keyboard-response","63","78374","0.0-21.0-0.1","","","","","","","","",""
"null","img/Tapedispenser.png","null","image-keyboard-response","64","79879","0.0-21.0-1.1","","","4","1","46","-1","17","12","wait"
"null","img/fixation_cross.png","null","image-keyboard-response","65","80381","0.0-21.0-0.2","","","","","","","","",""
"null","img/Toiletpaper.png","null","image-keyboard-response","66","81885","0.0-21.0-1.2","","","4","2","45","-2","19","12","wait"
"null","img/fixation_cross.png","null","image-keyboard-response","67","83639","0.0-21.0-0.3","","","","","","","","",""
"null","img/Tapedispenser.png","null","image-keyboard-response","68","85141","0.0-21.0-1.3","","","4","3","44","-3","17","12","wait"
"null","img/fixation_cross.png","null","image-keyboard-response","69","86143","0.0-21.0-0.4","","","","","","","","",""
"null","img/Soapdispenser.png","null","image-keyboard-response","70","87646","0.0-21.0-1.4","","","4","4","43","-4","16","12","wait"
"null","img/fixation_cross.png","null","image-keyboard-response","71","88899","0.0-21.0-0.5","","","","","","","","",""
"null","img/Toaster.png","null","image-keyboard-response","72","90403","0.0-21.0-1.5","","","4","5","42","-5","18","12","wait"
"null","img/fixation_cross.png","null","image-keyboard-response","73","90657","0.0-21.0-0.6","","","","","","","","",""
"null","img/Tapedispenser.png","null","image-keyboard-response","74","92160","0.0-21.0-1.6","","","4","6","41","-6","17","12","wait"
"null","img/fixation_cross.png","null","image-keyboard-response","75","93911","0.0-21.0-0.7","","","","","","","","",""
"null","img/Toiletpaper.png","null","image-keyboard-response","76","95414","0.0-21.0-1.7","","","4","7","40","-7","19","12","wait"
"null","img/fixation_cross.png","null","image-keyboard-response","77","95917","0.0-21.0-0.8","","","","","","","","",""
"null","img/Soapdispenser.png","null","image-keyboard-response","78","97420","0.0-21.0-1.8","","","4","8","39","-8","16","12","wait"
"null","img/fixation_cross.png","null","image-keyboard-response","79","98421","0.0-21.0-0.9","","","","","","","","",""
"425.6349999923259","img/Pot.png","32","image-keyboard-response","80","98850","0.0-21.0-1.9","","","4","9","38","-9","15","12","early"
"437.7000000094995","<p>You ended the miniblock early.</p><p>You might have saved some losses!</p>","32","html-keyboard-response","81","99290","0.0-22.0","","","","","","","","",""
"1508.3099999465048","<p>In this block you made <span style=""color: #ff0000"">-9 points</span>. Stay strong!</p><p>This block, you took a total of <span style=""color: #ae7bdd"">9 steps</span>.</p><p>In total, you have collected the goal <span style=""color: #ae7bdd"">0 times</span>.</p><p>In total you now have <span style=""color: #93c54b"">38 points</span>.</p>","32","html-keyboard-response","82","100800","0.0-23.0","","","","","","","","",""
